room_id,description,ascii_art
1,"You are in the Library of Core Beliefs. Ancient, sturdy shelves hold the foundational ideas that shape your world. Some books glow with a warm, steady light, while others are heavy and bound in shadow. This is where your fundamental understanding of yourself and the world resides.","   _______\n  /      /,\n /      //\n/______//\n(______(/"
2,"You have entered the Archives of Automatic Thoughts. Here, fleeting thoughts and immediate reactions are recorded on endless scrolls that zip by on brass tracks. Most are mundane, but some are inscribed with heavily biased or critical ink.","||||||||\n|      |\n|      |\n||||||||"
3,"This is the Quiet Nook of Mindfulness. A comfortable chair sits before a calm, steady hearth. The air is still and quiet. This is a space for non-judgmental observation of your thoughts and feelings as they are.","  )  (\n /`--`\n|      |\n|______|"
4,"You are in the Grand Hall of Social Interactions. Echoes of past conversations hang in the air. The space is vast and can feel either welcoming or intimidating depending on the light, which shifts with your mood.","   | |         | |\n|  | | |     | | |  |\n|  | | |     | | |  |\n|__| |_|_____|_| |__|\n(____________________)"
5,",-----------.\n|]         [|\n|           |\n|___________|\n|o|       |o|\n|=|       |=|","This is the Kitchen of Physical Sensations. The smells of different foods and the feeling of warmth from the stove connect you to your body. This room reminds you of the link between physical well-being and emotional states.",",-----------.\n|]         [|\n|           |\n|___________|\n|o|       |o|\n|=|       |=|"
6,"You've entered the Room of Cognitive Distortions. The walls seem to twist and shimmer, presenting funhouse-mirror reflections of reality. Whispers of all-or-nothing thinking, overgeneralization, and catastrophizing echo from the corners. This room is uncomfortable, but understanding it is key.","/`-.--`-.\n| o| o |\n`-/`--`\n  |     |\n /|     |\n/ |     | \n`=` `---` =`"
7,"You are in the Observatory of Perspective. A large, clear lens allows you to look out at your own thoughts and situations from a detached, higher vantage point. From here, problems that seemed immense can look manageable.","   .---.\n  /     \n |       |\n |   o   |\n/|/\   /|\n( |  `=`  | )\n`|_______|`"
8,"This is the Workshop of Coping Strategies. Workbenches are covered with tools for managing difficult emotions and situations. Here you can find plans for deep breathing, grounding exercises, and problem-solving.","|` |` |` |\n|-`|-`|-`|\n|  |  |  |\n(-----)  |\n| | | |  |\n|_|_|_|__|"
9,"You are in the Laboratory of Behavioral Experiments. This room is for testing beliefs and assumptions by taking action. It's a safe space to try new things and see if the predicted negative outcomes actually occur.","  .---.\n (     )\n  `---`\n /  |  \n(   |   )\n `--`--`"
10,"You have found the Flooded Cavern of Emotions. A deep, calm pool of water reflects the glowing moss on the ceiling. This room represents the full spectrum of your emotions. The water can be calm or turbulent, but it is always just water.",",^,^,^,^,\n/         \n(           )\n~~~~~~~~~~~~~~~~\n~~~~~~~~~~~~~~~~\n(___________)"
11,"This is the Throne Room of the Self. A simple, comfortable chair sits on a modest platform. This is the seat of your executive function, where you make conscious choices and decisions. It is a place of self-acceptance and agency.","  |---|
 /     \
|  _|_  |
| (___) |
|_______|"
12,"You are in the Whispering Gallery of Others' Perspectives. Faint whispers move along the curved walls, allowing you to hear empathetic echoes of how others might feel or think in a given situation. It is a place to practice empathy.","/`--------`\n/           \n/             \n(               )\n(               )\n\             /\n \           /\n  `---------`"
